protein_id,n_pool,top1_tm,oracle_tm,top1_conf,sel_gap,af3_clean
6M5Y_A,87,0.8013,0.8673,0.53,0.066,False
6QBL_A,41,0.1992,0.2811,0.67,0.0819,False
6QEU_A,32,0.4035,0.4693,0.54,0.0658,False
6U1O_A,79,0.1927,0.3036,0.54,0.1109,False
6UCK_A,22,0.2651,0.2923,0.81,0.0272,False
6UF2_A,73,0.4097,0.45,0.46,0.0403,False
6X6N_A,83,0.4483,0.4601,0.74,0.0118,True
6XRY_A,92,0.1292,0.1424,0.72,0.0132,False
6ZTG_A,174,0.2358,0.2554,0.68,0.0196,False
6ZUS_A,95,0.557,0.6443,0.55,0.0873,False
6ZYG_A,60,0.2883,0.3268,0.58,0.0385,False
7A2D_A,147,0.4636,0.4726,0.69,0.009,False
7AD5_A,71,0.243,0.3152,0.46,0.0722,True
7DAB_A,20,0.2254,0.2489,0.73,0.0235,True
7DME_A,117,0.2947,0.3802,0.44,0.0855,False
7E7T_B,80,0.9852,0.9862,0.66,0.001,False
7F7N_A,74,0.1463,0.176,0.42,0.0297,True
7KW9_A,147,0.1673,0.3065,0.51,0.1392,True
7LZ4_A,85,0.9451,0.9605,0.92,0.0154,False
7MQQ_A,60,0.2704,0.2983,0.44,0.0279,True
7OIO_A,96,0.2884,0.388,0.63,0.0996,True
7TXX_A,100,0.1693,0.2101,0.4,0.0408,True
7VZM_A,66,0.3323,0.357,0.41,0.0247,True
7WKF_A,17,0.3172,0.3221,0.68,0.0049,True
7ZK0_A,37,0.4798,0.6858,0.74,0.206,True
8AP5_A,19,0.2028,0.2117,0.51,0.0089,True
8AUC_B,369,0.4109,0.4728,0.64,0.0619,True
8B6O_A,103,0.5988,0.6585,0.61,0.0597,True
8EB9_A,37,0.522,0.5864,0.5,0.0644,True
8F3K_A,63,0.401,0.818,0.61,0.417,True
8GXT_A,18,0.4134,0.4316,0.62,0.0182,True
8IN4_A,201,0.4297,0.6086,0.38,0.1789,True
8JB9_A,78,0.3333,0.3733,0.45,0.04,True
8QXI_A,29,0.4871,0.5004,0.82,0.0133,True
8RJX_A,139,0.4178,0.4481,0.53,0.0303,True
8TVL_A,144,0.1431,0.1446,0.67,0.0015,True
8U8H_A,61,0.2083,0.2674,0.68,0.0591,True
8V1J_A,62,0.3651,0.4249,0.52,0.0598,True
8X4J_A,284,0.4715,0.4748,0.67,0.0033,True
8XHT_A,99,0.1581,0.2747,0.63,0.1166,True
9BD0_A,25,0.4505,0.4983,0.8,0.0478,True
9FEI_A,160,0.1935,0.2319,0.42,0.0384,True
